,TeamName,TeamLinksBat,TeamLinksPit
0,Red Sox,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=3&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=3&rost=0&age=0
1,Cubs,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=17&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=17&rost=0&age=0
2,Yankees,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=9&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=9&rost=0&age=0
3,Athletics,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=10&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=10&rost=0&age=0
4,Indians,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=5&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=5&rost=0&age=0
5,Dodgers,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=22&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=22&rost=0&age=0
6,Braves,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=16&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=16&rost=0&age=0
7,Astros,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=21&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=21&rost=0&age=0
8,Cardinals,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=28&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=28&rost=0&age=0
9,Angels,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=1&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=1&rost=0&age=0
10,Brewers,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=23&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=23&rost=0&age=0
11,Nationals,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=24&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=24&rost=0&age=0
12,Reds,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=18&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=18&rost=0&age=0
13,Rays,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=12&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=12&rost=0&age=0
14,Diamondbacks,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=15&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=15&rost=0&age=0
15,Rangers,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=13&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=13&rost=0&age=0
16,Pirates,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=27&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=27&rost=0&age=0
17,Mariners,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=11&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=11&rost=0&age=0
18,Mets,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=25&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=25&rost=0&age=0
19,Phillies,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=26&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=26&rost=0&age=0
20,Twins,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=8&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=8&rost=0&age=0
21,Blue Jays,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=14&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=14&rost=0&age=0
22,Rockies,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=19&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=19&rost=0&age=0
23,Giants,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=30&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=30&rost=0&age=0
24,White Sox,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=4&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=4&rost=0&age=0
25,Royals,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=7&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=7&rost=0&age=0
26,Marlins,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=20&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=20&rost=0&age=0
27,Padres,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=29&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=29&rost=0&age=0
28,Tigers,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=6&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=6&rost=0&age=0
29,Orioles,leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=2&rost=0&age=0,leaders.aspx?pos=all&stats=pit&lg=all&qual=0&type=0&season=2018&month=0&season1=2018&ind=0&team=2&rost=0&age=0
