Name,Team,Pos,DK,Salary
Jose Abreu,White Sox,1B,10.27,4400.0
Nelson Cruz,Mariners,DH,9.9,5600.0
Freddie Freeman,Braves,1B,9.93,5200.0
Tommy Pham,Cardinals,CF,9.88,4300.0
Jose Ramirez,Indians,3B,9.83,4000.0
Yoan Moncada,White Sox,2B,9.84,4500.0
Elvis Andrus,Rangers,SS,9.79,3900.0
Mookie Betts,Red Sox,RF,9.7,6000.0
Brandon Belt,Giants,1B,9.47,4800.0
J.D. Martinez,Red Sox,DH,9.43,5800.0
Paul Goldschmidt,Diamondbacks,1B,9.42,5300.0
Jose Martinez,Cardinals,1B,9.36,4600.0
Adrian Beltre,Rangers,3B,9.21,3900.0
Mitch Haniger,Mariners,RF,9.1,4500.0
Marcell Ozuna,Cardinals,LF,9.05,3800.0
Giancarlo Stanton,Yankees,DH,8.95,4800.0
Avisail Garcia,White Sox,RF,9.08,3700.0
Alen Hanson,Giants,2B,9.11,3500.0
David Peralta,Diamondbacks,LF,8.95,4800.0
Andrew Benintendi,Red Sox,LF,8.94,5200.0
Matt Davidson,White Sox,DH,8.87,3800.0
Joc Pederson,Dodgers,LF,8.91,4500.0
Aaron Judge,Yankees,RF,8.81,4900.0
Charlie Blackmon,Rockies,CF,8.92,5100.0
Jake Lamb,Diamondbacks,3B,8.74,4400.0
Cody Bellinger,Dodgers,1B,8.7,4700.0
Yolmer Sanchez,White Sox,3B,8.91,4000.0
Mike Moustakas,Royals,3B,8.62,4100.0
Jean Segura,Mariners,SS,8.79,4800.0
Starling Marte,Pirates,CF,8.67,4600.0
Max Muncy,Dodgers,1B,8.41,4700.0
Andrew McCutchen,Giants,RF,8.39,4000.0
Buster Posey,Giants,C,8.47,4100.0
Matt Carpenter,Cardinals,3B,8.31,5000.0
Justin Turner,Dodgers,3B,8.36,3700.0
Leury Garcia,White Sox,LF,8.45,3400.0
Ozzie Albies,Braves,2B,8.4,5100.0
Nolan Arenado,Rockies,3B,8.28,5500.0
Kyle Seager,Mariners,3B,8.26,4200.0
Nomar Mazara,Rangers,RF,8.09,4200.0
Jon Jay,Diamondbacks,LF,8.27,3700.0
Yadier Molina,Cardinals,C,8.06,4200.0
Dee Gordon,Mariners,2B,8.33,4200.0
Jedd Gyorko,Cardinals,3B,7.96,3400.0
Matt Kemp,Dodgers,LF,8.0,4200.0
Mitch Moreland,Red Sox,1B,7.93,4500.0
Brandon Crawford,Giants,SS,7.94,4100.0
Tim Anderson,White Sox,SS,8.03,4400.0
Mike Zunino,Mariners,C,7.78,3300.0
Ryon Healy,Mariners,1B,7.89,3800.0
Jurickson Profar,Rangers,SS,7.75,4000.0
Aaron Hicks,Yankees,CF,7.77,4100.0
Eric Hosmer,Padres,1B,7.74,4000.0
Daniel Descalso,Diamondbacks,2B,7.67,3600.0
Ender Inciarte,Braves,CF,7.93,4200.0
Gleyber Torres,Yankees,2B,7.7,3700.0
Lucas Duda,Royals,1B,7.6,3600.0
Yasmani Grandal,Dodgers,C,7.55,3900.0
Joey Gallo,Rangers,LF,7.41,3900.0
Whit Merrifield,Royals,2B,7.68,3800.0
Kurt Suzuki,Braves,C,7.53,3700.0
Harrison Bader,Cardinals,RF,7.55,3500.0
Rougned Odor,Rangers,2b,7.43,3700.0
Jose Osuna,Pirates,1B,7.5,3200.0
Salvador Perez,Royals,C,7.38,3600.0
Delino DeShields,Rangers,CF,7.35,3900.0
Nick Markakis,Braves,RF,7.39,4300.0
Wil Myers,Padres,RF,7.33,4300.0
Trevor Story,Rockies,SS,7.27,4500.0
Austin Meadows,Pirates,CF,7.4,3900.0
Pablo Sandoval,Giants,DH,7.21,3400.0
Rafael Devers,Red Sox,3B,7.21,4500.0
Joe Panik,Giants,2B,7.17,3500.0
Denard Span,Mariners,LF,7.15,4000.0
Jarrod Dyson,Diamondbacks,CF,7.19,3000.0
Xander Bogaerts,Red Sox,SS,7.13,4700.0
Yasiel Puig,Dodgers,RF,7.09,3900.0
Manuel Margot,Padres,CF,7.19,3700.0
Miguel Andujar,Yankees,3B,7.1,3600.0
Nick Ahmed,Diamondbacks,SS,7.02,3400.0
Adam Engel,White Sox,CF,7.04,2900.0
Josh Harrison,Pirates,2B,7.08,4000.0
Yairo Munoz,Cardinals,3B,6.99,3300.0
Isiah Kiner-Falefa,Rangers,3B,6.9,3400.0
David Freese,Pirates,3B,6.79,3100.0
Travis Jankowski,Padres,RF,6.82,3800.0
Johan Camargo,Braves,3B,6.71,3500.0
DJ LeMahieu,Rockies,2B,6.71,4300.0
Cory Spangenberg,Padres,3B,6.59,3400.0
Chris Taylor,Dodgers,SS,6.55,3800.0
Didi Gregorius,Yankees,SS,6.45,4000.0
Elias Diaz,Pirates,C,6.41,3300.0
Rosell Herrera,Royals,2B,6.44,3100.0
Gorkys Hernandez,Giants,LF,6.4,3400.0
Eduardo Nunez,Red Sox,DH,6.35,3500.0
Omar Narvaez,White Sox,C,6.25,2800.0
Jose Pirela,Padres,2B,6.25,3200.0
Ian Desmond,Rockies,1B,6.07,3700.0
Gerardo Parra,Rockies,LF,6.11,3700.0
Gregory Polanco,Pirates,RF,5.99,4300.0
Alex Gordon,Royals,LF,5.99,3200.0
Adalberto Mondesi,Royals,SS,6.01,3300.0
Jackie Bradley Jr.,Red Sox,CF,5.85,3700.0
Jordy Mercer,Pirates,SS,5.82,3100.0
Brandon Drury,Yankees,2B,5.66,3200.0
Tom Murphy,Rockies,C,5.55,3200.0
Dansby Swanson,Braves,SS,5.62,3600.0
Guillermo Heredia,Mariners,CF,5.58,2800.0
Sandy Leon,Red Sox,C,5.53,2900.0
Freddy Galvis,Padres,SS,5.53,2900.0
A.J. Ellis,Padres,C,5.41,2900.0
Hunter Dozier,Royals,1B,5.4,3200.0
Jeff Mathis,Diamondbacks,C,5.31,2500.0
Austin Romine,Yankees,C,5.32,3500.0
Daniel Robertson,Rays,2B,5.21,2000.0
Brett Gardner,Yankees,LF,5.2,3500.0
Alcides Escobar,Royals,SS,4.83,2700.0
Chris Sale,Red Sox,SP,23.16,13000.0
Trevor Williams,Pirates,SP,18.09,7900.0
Kenta Maeda,Dodgers,SP,18.01,11000.0
Luke Weaver,Cardinals,SP,16.19,7300.0
Felix Hernandez,Mariners,SP,16.59,8100.0
Joey Lucchesi,Padres,SP,16.48,7400.0
Dereck Rodriguez,Giants,SP,14.96,7500.0
Shelby Miller,Diamondbacks,SP,14.87,6500.0
Sonny Gray,Yankees,SP,14.38,7100.0
German Marquez,Rockies,SP,14.23,5900.0
Carlos Rodon,White Sox,SP,13.16,7700.0
Jason Hammel,Royals,SP,11.95,4900.0
Bartolo Colon,Rangers,SP,10.68,5100.0
Max Fried,Braves,SP,8.93,5700.0
