,Umpire Id,Umpire Name,AB,K,Walk,1H/2H/3H/HR,K%,Walk%,Hit%,K Factor,Walk Factor,Hit Factor
0,barnl901,Larry Barnett,20290.0,3517.0,2036.0,7218.0,17.33366190241498,10.034499753573188,35.574174470182356,0.8825629354176612,0.9968265851920597,1.038164691894043
1,mckej901,Jim McKean,22459.0,3905.0,2164.0,8042.0,17.387238968787567,9.63533550024489,35.80747139231488,0.885290872147653,0.9571736329425669,1.044973019308318
2,garcr901,Rich Garcia,22230.0,3684.0,2289.0,7950.0,16.572199730094468,10.29689608636977,35.76248313090418,0.8437922305431724,1.0228930206708584,1.0436601223755884
3,denkd901,Don Denkinger,15092.0,2408.0,1617.0,5226.0,15.955473098330241,10.714285714285714,34.62761728067851,0.8123908988716316,1.0643564805052041,1.0105412187527332
4,brinj901,Joe Brinkman,35308.0,6272.0,3579.0,12462.0,17.763679619349723,10.136512971564517,35.29511725388014,0.9044577722199558,1.0069605719609107,1.03002093723781
5,evanj901,Jim Evans,22379.0,3759.0,2349.0,7979.0,16.796997184860807,10.496447562446937,35.65396130300728,0.8552380463592383,1.0427164519681889,1.0404931190171043
6,froeb901,Bruce Froemming,41021.0,7578.0,4266.0,14373.0,18.473464810706712,10.399551449257698,35.03815119085347,0.9405972853549578,1.0330907980740405,1.0225218709172994
7,harvd901,Doug Harvey,6380.0,1152.0,587.0,2058.0,18.0564263322884,9.200626959247648,32.257053291536046,0.9193633011127879,0.9139897133533718,0.9413608127403325
8,engeb901,Bob Engel,295.0,33.0,30.0,122.0,11.186440677966102,10.16949152542373,41.35593220338983,0.5695702372183569,1.010236659462567,1.2068943061464399
9,mcshj901,John McSherry,11944.0,1901.0,1213.0,4116.0,15.915941058271935,10.155726724715338,34.46081714668453,0.810378080488919,1.0088692650111284,1.0056734737580915
10,koscg901,Greg Kosc,20992.0,3824.0,1967.0,7386.0,18.216463414634145,9.370236280487806,35.18483231707317,0.9275117695648615,0.9308386928402032,1.0268024808956473
11,kaisk901,Ken Kaiser,17491.0,2993.0,1853.0,6041.0,17.111657423817963,10.594019781601967,34.53776227774284,0.8712593271316847,1.0524092701871823,1.0079189712142547
12,phild901,Dave Phillips,20674.0,3444.0,2175.0,7305.0,16.658605011125086,10.520460481764534,35.33423623875399,0.8481916528286242,1.0451018938887318,1.0311625504862862
13,coont901,Terry Cooney,5900.0,978.0,611.0,1966.0,16.576271186440678,10.35593220338983,33.32203389830509,0.843999533332656,1.028757664886047,0.9724402483130743
14,fordd901,Dale Ford,20119.0,3387.0,2146.0,7054.0,16.83483274516626,10.666534121974253,35.06138476067399,0.8571644865629496,1.0596128402769638,1.0231998985093251
15,wendh901,Harry Wendelstedt,17731.0,3249.0,1741.0,5917.0,18.323839602955275,9.81896114150358,33.37093226552366,0.9329789492348107,0.9754149927935571,0.9738672542547061
16,pullf901,Frank Pulli,21584.0,4091.0,1999.0,7167.0,18.953854707190512,9.261489992587101,33.20515196441809,0.9650568784618626,0.9200358433227899,0.9690292711452562
17,crawj901,Jerry Crawford,42129.0,7580.0,4374.0,14909.0,17.99235680884901,10.382396923734245,35.38892449381661,0.9161011291034445,1.031386668569025,1.0327585233040082
18,monte901,Ed Montague,41288.0,7611.0,4133.0,14413.0,18.433927533423756,10.010172447200155,34.908447975198605,0.9385842003130483,0.9944099120808649,1.0187367290011922
19,roe-r901,Rocky Roe,23287.0,3895.0,2566.0,8409.0,16.726070339674497,11.019023489500581,36.11027611972345,0.8516267260831215,1.0946291122563079,1.0538097999565288
20,voltv901,Vic Voltaggio,9282.0,1573.0,973.0,3125.0,16.946778711484594,10.48265460030166,33.667313079077786,0.862864341630984,1.0413462599613512,0.9825165651823461
21,merrd901,Durwood Merrill,21840.0,3763.0,2241.0,7571.0,17.229853479853478,10.260989010989011,34.66575091575091,0.8772774125631861,1.0193260140222917,1.0116540764393938
22,reedr901,Rick Reed,39611.0,6959.0,4040.0,14259.0,17.568352225391937,10.199187094493954,35.99757643078943,0.8945124577705694,1.0131866154582372,1.050520873661505
23,cobld901,Drew Coble,20454.0,3567.0,2074.0,7130.0,17.439131710178938,10.139825950914247,34.85870734330693,0.8879330495725429,1.0072896831247062,1.0172851431653573
24,tatat901,Terry Tata,22326.0,4265.0,2096.0,7504.0,19.10328764668996,9.388157305383857,33.61103645973304,0.9726654250272222,0.9326189663455078,0.9808742389709019
25,quicj901,Jim Quick,18054.0,3333.0,1806.0,6073.0,18.46128281821203,10.003323363243602,33.637974963996896,0.9399770254747392,0.993729524504028,0.9816603880353758
26,ripps901,Steve Rippley,29452.0,5412.0,2845.0,10235.0,18.37566209425506,9.659785413554257,34.751460002716286,0.935617549797097,0.9596024858192376,1.0141553332974131
27,davig901,Gerry Davis,61726.0,11820.0,6269.0,21311.0,19.149142986747886,10.15617405955351,34.525159576191555,0.9750002013574597,1.0089137032262985,1.0075511853142898
28,demud901,Dana DeMuth,60595.0,11493.0,5822.0,21081.0,18.966911461341695,9.60805346975823,34.78999917484941,0.9657216778179115,0.954463437720584,1.0152800258126808
29,davib902,Bob Davidson,50445.0,10088.0,4499.0,17089.0,19.9980176429775,8.918624244226384,33.876499157498266,1.0182216113873443,0.8859755810764303,0.988621263432869
30,reilm901,Mike Reilly,46723.0,8377.0,4812.0,16787.0,17.929071335316653,10.298996211715858,35.92877169702288,0.9128788778789511,1.02310164699291,1.0485129382337561
31,morrd901,Dan Morrison,23148.0,3977.0,2550.0,8176.0,17.180749956799723,11.016070502851218,35.32054605149473,0.8747772513341482,1.0943357627451122,1.030763028382129
32,mccol901,Larry McCoy,20327.0,3652.0,1902.0,7084.0,17.96625178334235,9.357012840064938,34.85019924238698,0.9147719623024526,0.929525077086062,1.0170368504051819
33,welkt901,Tim Welke,58039.0,11262.0,5402.0,20366.0,19.40419373180103,9.307534588810972,35.090197970330294,0.9879863975519985,0.9246099106652146,1.0240407572887857
34,rennd901,Dutch Rennert,5675.0,981.0,567.0,1829.0,17.2863436123348,9.991189427312776,32.229074889867846,0.880153671337906,0.9925241400587737,0.940544316245891
35,westj901,Joe West,59583.0,11692.0,5834.0,20602.0,19.623046842220095,9.791383448299012,34.57697665441485,0.9991295503747627,0.972675426455455,1.009063368291118
36,brocf901,Fred Brocklander,1602.0,254.0,164.0,509.0,15.85518102372035,10.237203495630462,31.77278401997503,0.8072844148369742,1.0169631623969824,0.927228334149008
37,rungp901,Paul Runge,14950.0,2879.0,1375.0,4936.0,19.25752508361204,9.197324414715718,33.01672240802675,0.980518597994804,0.9136616387837314,0.9635303125532947
38,hallt901,Tom Hallion,49492.0,9837.0,4734.0,17209.0,19.875939545785176,9.565182251677038,34.77127616584498,1.012005867454249,0.9502046135666762,1.014733630368123
39,hendt901,Ted Hendry,19777.0,3578.0,1766.0,6992.0,18.09172270819639,8.929564645800678,35.35419932244526,0.9211604558805649,0.8870623998924902,1.0317451351544695
40,cousd901,Derryl Cousins,51118.0,9001.0,5786.0,18163.0,17.608278884150398,11.31890919050041,35.531515317500684,0.8965453686092408,1.1244197392548425,1.0369197655743234
41,johnm901,Mark Johnson,17777.0,2996.0,1961.0,6285.0,16.85323732913315,11.03110761095798,35.3546717668898,0.8581015767024947,1.0958295481348512,1.031758922547951
42,shulj901,John Shulock,26859.0,4562.0,2871.0,9646.0,16.984995718381178,10.689154473360885,35.91347406828251,0.8648102036178749,1.0618599445853327,1.0480665060040704
43,laynj901,Jerry Layne,55344.0,10718.0,5495.0,19190.0,19.366146285053485,9.928808904307603,34.67403873952009,0.9860491689112355,0.9863272627597734,1.0118959408294448
44,marsr901,Randy Marsh,42798.0,7562.0,4658.0,14827.0,17.669049955605402,10.883686153558578,34.64414224963783,0.8996395962175648,1.0811847096703175,1.0110234685747943
45,darlg901,Gary Darling,49470.0,9748.0,4454.0,17227.0,19.7048716393774,9.003436426116838,34.82312512633919,1.003295752160379,0.89440081798238,1.0162467437684526
46,willc901,Charlie Williams,23640.0,4424.0,2324.0,8037.0,18.71404399323181,9.830795262267342,33.99746192893401,0.9528466456300738,0.9765905936186497,0.9921513320910609
47,bonig901,Greg Bonin,22089.0,4315.0,1914.0,7515.0,19.534609986871292,8.664946353388563,34.021458644574224,0.9946266881927749,0.860775235082845,0.9928516306438769
48,hirsj901,John Hirschbeck,47648.0,9741.0,4436.0,16278.0,20.443670248488917,9.309939556749496,34.16302887844191,1.0409125161662063,0.9248488200315537,0.9969830889394953
49,mcclt901,Tim McClelland,55519.0,9901.0,5969.0,19756.0,17.833534465678415,10.751274338514742,35.58421441308381,0.9080145104658085,1.068030928149497,1.038457688551988
50,pales901,Steve Palermo,2801.0,497.0,316.0,913.0,17.74366297750803,11.281685112459835,32.59550160656908,0.9034386023364964,1.1207219016434662,0.9512377837714616
51,clara901,Al Clark,24200.0,4185.0,2479.0,8540.0,17.293388429752067,10.243801652892563,35.289256198347104,0.8805123661580928,1.0176186229315047,1.0298498934679332
52,hirsm901,Mark Hirschbeck,26791.0,5331.0,2442.0,8992.0,19.898473367922062,9.115001306408868,33.563510134000225,1.0131532024099712,0.9054836662937035,0.9794872734531883
53,younl901,Larry Young,38765.0,7019.0,4014.0,13880.0,18.10653940410164,10.35470140590739,35.805494647233324,0.9219148646549455,1.0286353975402287,1.0449153317588777
54,tscht901,Tim Tschida,49993.0,9361.0,5171.0,17643.0,18.72462144700258,10.343448082731582,35.290940731702435,0.9533852086124216,1.0275174931116189,1.0298990533733385
55,wintm901,Mike Winters,61722.0,12440.0,5878.0,21414.0,20.154888046401606,9.523346618709699,34.694274326820256,1.0262088448124316,0.9460486643739592,1.0124864779977036
56,meric901,Chuck Meriwether,43774.0,7641.0,4515.0,15791.0,17.455567231690043,10.31434184675835,36.07392516105451,0.8887698826774936,1.0246260814293713,1.052748966293664
57,hohnb901,Bill Hohn,35177.0,6449.0,3317.0,12087.0,18.333001677232282,9.42945674730648,34.360519657730904,0.9334454465747238,0.9367216503529897,1.002746482105634
58,scotd901,Dale Scott,59739.0,11544.0,5960.0,20856.0,19.32405965951891,9.976732118046836,34.911866619796115,0.9839062809293,0.9910879518500392,1.0188364956484335
59,joycj901,Jim Joyce,53291.0,10084.0,5159.0,18759.0,18.922519750051602,9.680809142256667,35.201065846015275,0.963461423796288,0.9616909817288584,1.0272762255945342
60,rapue901,Ed Rapuano,49346.0,9448.0,4714.0,17252.0,19.146435374701092,9.552952620273174,34.96129372188222,0.9748623402378969,0.9489897227390462,1.0202789317125915
61,relic901,Charlie Reliford,38481.0,7022.0,3786.0,13617.0,18.247966528936356,9.838621657441335,35.38629453496531,0.9291157861419637,0.9773680672314102,1.0326817729517872
62,cedeg901,Gary Cederstrom,58036.0,11280.0,5764.0,20708.0,19.43621200634089,9.931766489764973,35.681301261286094,0.9896166440933235,0.9866210691162721,1.0412909837542528
63,craft901,Terry Craft,27776.0,4926.0,2738.0,9746.0,17.734735023041477,9.857430875576037,35.087845622119815,0.9029840254706479,0.9792365737981348,1.0239721084756641
64,hicke901,Ed Hickox,38232.0,7564.0,3616.0,13210.0,19.784473739276,9.458045616237706,34.552207574806445,1.0073487828094956,0.9395616668252678,1.0083405297633623
65,wickd901,Dan Wickham,822.0,129.0,66.0,270.0,15.693430656934307,8.02919708029197,32.846715328467155,0.7990487125762946,0.7976199415951408,0.9585689789454346
66,grege901,Eric Gregg,16453.0,3181.0,1441.0,5571.0,19.333860086306448,8.758281164529265,33.86008630644867,0.9844052807068803,0.8700471094516498,0.9881422855589823
67,barnr901,Ron Barnes,6585.0,1236.0,591.0,2248.0,18.76993166287016,8.974943052391799,34.13819286256644,0.9556922293300074,0.8915702879979812,0.9962582970039624
68,evanj902,Jeff Evans,68.0,14.0,2.0,19.0,20.588235294117645,2.941176470588235,27.941176470588236,1.0482732084277244,0.29217628876613444,0.8154101477761327
69,deegb901,Bill Deegan,198.0,38.0,25.0,75.0,19.19191919191919,12.626262626262626,37.878787878787875,0.9771782000639393,1.2542921487435066,1.105420455517883
70,slicd901,Dave Slickenmeyer,131.0,28.0,16.0,43.0,21.374045801526716,12.213740458015266,32.82442748091603,1.0882836362303092,1.2133122220517338,0.9579185504609931
71,higgj901,John Higgins,197.0,36.0,25.0,71.0,18.274111675126903,12.690355329949238,36.04060913705584,0.9304469957328025,1.2606591139655547,1.051776701432853
72,ballf901,Frank Ballina,184.0,28.0,21.0,57.0,15.217391304347828,11.41304347826087,30.978260869565215,0.7748106323161442,1.1337710335816304,0.9040416855778862
73,nelsb901,Bob Nelson,123.0,21.0,8.0,35.0,17.073170731707318,6.504065040650407,28.455284552845526,0.869299733818113,0.6461134190600698,0.8304134153646536
74,willb902,Bob Willman,132.0,25.0,12.0,33.0,18.939393939393938,9.090909090909092,25.0,0.9643205921683611,0.9030903470953249,0.7295775006418029
75,gormb901,Brian Gorman,53441.0,10838.0,4789.0,18344.0,20.280309125951984,8.961284407103161,34.325704983065435,1.032594800460719,0.8902134390193787,1.0017304819725104
76,poncl901,Larry Poncino,30225.0,5487.0,2875.0,10818.0,18.153846153846153,9.511993382961125,35.79156327543424,0.9243235411455012,0.9449208346365474,1.0445087711421703
77,cuzzp901,Phil Cuzzi,42316.0,9057.0,3703.0,14592.0,21.403251725115798,8.750827110312883,34.48341053029587,1.0897706887527063,0.8693066241666003,1.0063328187319396
78,,,69.0,7.0,6.0,27.0,10.144927536231885,8.695652173913043,39.130434782608695,0.5165404215440961,0.863825549395528,1.141947392308909
79,vanol901,Larry Vanover,48903.0,10184.0,4660.0,16820.0,20.82489826799992,9.52906774635503,34.3946179171012,1.06032317052518,0.9466170008405692,1.0037415750195386
80,herna901,Angel Hernandez,57255.0,11514.0,5076.0,19872.0,20.11003405816086,8.865601257532093,34.7078857741682,1.023925053438756,0.8807082808560747,1.0128837022271528
81,kellj901,Jeff Kellogg,54379.0,10707.0,5298.0,19002.0,19.689586053439747,9.742731569171923,34.943636330200995,1.0025174693214343,0.9678423517906055,1.0197636342849659
82,potts901,Scott Potter,1557.0,294.0,169.0,534.0,18.88246628131021,10.854206807964033,34.296724470134876,0.9614220562843869,1.0782562333013543,1.0008847407648627
83,danlk901,Kerwin Danley,40979.0,8266.0,3897.0,14333.0,20.171307254935456,9.509748895775886,34.97645135313209,1.0270448473237561,0.9446978674183188,1.0207212783815087
84,bellw901,Wally Bell,48544.0,9597.0,4262.0,16974.0,19.769693473961766,8.779663810151614,34.96621621621622,1.0065962289397237,0.8721712601459092,1.0204225853571163
85,riekr901,Rich Rieker,17273.0,3248.0,1892.0,6010.0,18.803913622416488,10.95351126034852,34.794187460197996,0.9574224591070329,1.0881211314622763,1.0154022529629445
86,onorb901,Brian O'Nora,49331.0,9953.0,4457.0,17245.0,20.175954268107272,9.034886785185787,34.95773448744197,1.0272814552378213,0.8975250947080434,1.0201750622179067
87,longb901,Bob Long,140.0,22.0,11.0,49.0,15.714285714285714,7.857142857142857,35.0,0.8001105713305489,0.7805280857038164,1.021408500898524
88,mealj901,Jerry Meals,47913.0,9768.0,4661.0,16767.0,20.386951349320643,9.728048755035168,34.994677853609666,1.0380246094777392,0.9663837619419446,1.0212531841680637
89,barrm901,Mark Barron,5423.0,1039.0,500.0,1940.0,19.15913700903559,9.219988936013277,35.77355707173152,0.9755090582681645,0.9159131309283213,1.043983294298431
90,culbf901,Fieldin Culbreth,49103.0,9735.0,4640.0,17034.0,19.82567256583101,9.449524468973383,34.69034478545099,1.0094464675056005,0.938715176582803,1.0123718017988694
91,winam901,Matt Winans,486.0,83.0,48.0,160.0,17.078189300411523,9.876543209876543,32.92181069958848,0.869555259900952,0.9811351919060318,0.960760494672333
92,barrt901,Ted Barrett,49804.0,10113.0,4550.0,17449.0,20.305597943940246,9.135812384547426,35.03533852702594,1.0338824091358285,0.9075510375094572,1.022439788667482
93,beane901,Ed Bean,525.0,80.0,53.0,171.0,15.238095238095239,10.095238095238095,32.57142857142858,0.7758647964417443,1.002860328298237,0.9505352579790348
94,sylvf901,Frank Sylvester,74.0,11.0,13.0,34.0,14.864864864864865,17.56756756756757,45.94594594594595,0.7568613512586273,1.7451610761436682,1.340845136314665
95,parkd901,Dallas Parks,127.0,18.0,15.0,37.0,14.173228346456693,11.811023622047244,29.133858267716533,0.7216458982652051,1.1733063564624298,0.8502162999605262
96,freet901,Todd Freese,68.0,13.0,6.0,27.0,19.11764705882353,8.823529411764707,39.705882352941174,0.973396550682887,0.8765288662984035,1.1587407363134516
97,henrj901,Jeff Henrichs,191.0,33.0,19.0,63.0,17.277486910994764,9.947643979057592,32.98429319371728,0.8797027224053154,0.9881983379210622,0.9625839275483473
98,duncr901,Dennis Duncan,152.0,24.0,19.0,61.0,15.789473684210526,12.5,40.131578947368425,0.8039388515761495,1.2417492272560715,1.1711638826092101
99,rybes901,Cy Ryberg,152.0,37.0,10.0,60.0,24.342105263157894,6.578947368421052,39.473684210526315,1.2394057295132306,0.6535522248716166,1.1519644746975835
100,garmj901,Jim Garman,132.0,17.0,19.0,46.0,12.878787878787879,14.393939393939394,34.84848484848485,0.6557380026744857,1.4298930495675977,1.0169868190764526
101,bovet901,Terry Bovey,174.0,31.0,11.0,69.0,17.81609195402299,6.321839080459771,39.6551724137931,0.9071264053225137,0.6280111034398523,1.1572608630869978
102,grahs901,Scott Graham,135.0,22.0,15.0,41.0,16.296296296296298,11.11111111111111,30.37037037037037,0.8297442961946433,1.1037770908942859,0.8863015563352272
103,holom901,Mike Holoka,121.0,32.0,12.0,31.0,26.446280991735538,9.917355371900827,25.6198347107438,1.346542208700548,0.9851894695585361,0.7476661990048228
104,roseb901,Bill Rosenberry,143.0,28.0,18.0,47.0,19.58041958041958,12.587412587412588,32.86713286713287,0.9969591352879057,1.2504327882858344,0.9591648260185941
105,yeasd901,Dave Yeast,142.0,23.0,18.0,52.0,16.19718309859155,12.676056338028168,36.61971830985916,0.8246978360065197,1.2592386529920725,1.0686769023485565
106,ravab901,Bruce Ravan,72.0,7.0,10.0,26.0,9.722222222222223,13.88888888888889,36.11111111111111,0.4950179039797588,1.3797213636178574,1.0538341675937153
107,compc901,Craig Compton,148.0,27.0,15.0,52.0,18.243243243243242,10.135135135135135,35.13513513513514,0.9288752947264971,1.0068236977751932,1.0253521630641556
108,uremj901,Jim Uremovich,61.0,19.0,2.0,12.0,31.147540983606557,3.278688524590164,19.672131147540984,1.5859121607595081,0.3257047153458548,0.5740937709968286
109,masod901,Darrel Mason,164.0,29.0,19.0,61.0,17.682926829268293,11.585365853658537,37.19512195121951,0.9003461528830455,1.1508895277007494,1.0854689643695117
110,schwh902,Hank Schwarz,125.0,18.0,12.0,34.0,14.399999999999999,9.6,27.200000000000003,0.7331922326374484,0.9536634065326629,0.7937803206982816
111,randl901,Larry Randall,88.0,11.0,7.0,31.0,12.5,7.954545454545454,35.22727272727273,0.6364515908311184,0.7902040537084092,1.0280410236316313
112,riggm901,Mike Riggins,132.0,25.0,16.0,48.0,18.939393939393938,12.121212121212121,36.36363636363637,0.9643205921683611,1.2041204627937663,1.061203637297168
113,florj901,John Floras,61.0,15.0,8.0,17.0,24.59016393442623,13.114754098360656,27.86885245901639,1.2520359163890853,1.3028188613834193,0.8132995089121737
114,rodrg901,Gus Rodriguez,136.0,34.0,19.0,49.0,25.0,13.970588235294118,36.029411764705884,1.2729031816622367,1.3878373716391388,1.0514499273955396
115,davib901,Bill Davis,202.0,25.0,26.0,76.0,12.376237623762377,12.871287128712872,37.62376237623762,0.6301500899318004,1.2786328676696184,1.0979780207678618
116,mannt901,Terry Mann,69.0,18.0,17.0,21.0,26.08695652173913,24.637681159420293,30.434782608695656,1.328246798256247,2.4475057232873296,0.8881813051291515
117,pilam901,Mike Pilato,137.0,24.0,24.0,49.0,17.51824817518248,17.51824817518248,35.76642335766424,0.8919613535735382,1.7402616907530346,1.043775110407251
118,travv901,Vic Travis,72.0,18.0,10.0,22.0,25.0,13.88888888888889,30.555555555555557,1.2729031816622367,1.3797213636178574,0.8917058341177592
119,paylj901,Jim Paylor,76.0,8.0,7.0,36.0,10.526315789473683,9.210526315789473,47.368421052631575,0.5359592343840996,0.9149731148202631,1.3823573696371
120,caraj901,Joe Caraco,133.0,23.0,15.0,43.0,17.293233082706767,11.278195488721805,32.33082706766917,0.8805044564881638,1.120375242637057,0.9435137602284969
121,harvr901,Randy Harvey,137.0,29.0,15.0,44.0,21.16788321167883,10.948905109489052,32.11678832116788,1.0777866355680252,1.0876635567206467,0.9372674460799804
122,padij901,Joey Padilla,131.0,22.0,7.0,52.0,16.793893129770993,5.343511450381679,39.69465648854962,0.8550799998952431,0.5308240971476336,1.1584131307900383
123,humpr901,Rich Humphrey,139.0,24.0,10.0,61.0,17.26618705035971,7.194244604316546,43.884892086330936,0.8791273772631275,0.7146758142480987,1.2806971953712225
124,hernb901,Bob Hernandez,55.0,17.0,9.0,10.0,30.909090909090907,16.363636363636363,18.181818181818183,1.5737712064187654,1.6255626247715846,0.530601818648584
125,hubem901,Mike Huber,63.0,15.0,7.0,18.0,23.809523809523807,11.11111111111111,28.57142857142857,1.2122887444402253,1.1037770908942859,0.8338028578763461
126,luked901,Dale Luker,134.0,32.0,14.0,39.0,23.88059701492537,10.44776119402985,29.1044776119403,1.2159075168116888,1.037879951139403,0.8493588813441886
127,wrigm901,Marvin Wright,135.0,22.0,9.0,40.0,16.296296296296298,6.666666666666667,29.629629629629626,0.8297442961946433,0.6622662545365715,0.8646844452050997
