PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,NAME,OL,2H,BPC,PPC,MPC,CATCHER,UMPIRE,PARK,ROOF,PLATOON,GVF,HFA,DH,DK,IP,ERA,W,L,QS,CG,CGSH,K,BB,HBP,H,HR,ER,FPTS,FPTS/$
17652,"Jacob deGrom",13000.00,PHI,SP,NYM,46066,"Jacob deGrom",true,&nbsp;,101,106,123,"Devin Mesoraco","Gerry Davis (H)",PHI,&nbsp;,5,---,false,false,23.35,6.52,3.57,0.38,0.37,0.55,0.06,0.03,8.28,1.92,0.12,5.50,0.98,2.59,23.35,1.8
21546,"Luis Severino",10300.00,TOR,SP,NYY,46055,"Luis Severino",true,&nbsp;,99,106,118,"Austin Romine","David Rackley (H)",NYY,&nbsp;,5,---,true,true,22.50,6.66,3.48,0.60,0.18,0.57,0.04,0.02,7.31,1.48,0.21,5.77,0.99,2.58,22.50,2.18
21539,"Zack Godley",8700.00,SDP,SP,ARI,46058,"Zack Godley",false,&nbsp;,95,106,116,"Jeff Mathis","Eric Cooper (EP)",SDP,&nbsp;,4,4-2,false,false,21.83,6.65,2.95,0.52,0.26,0.56,0.06,0.03,6.81,2.05,0.24,5.38,0.67,2.18,21.83,2.51
16142,"Mike Foltynewicz",11100.00,COL,SP,ATL,46056,"Mike Foltynewicz",false,&nbsp;,97,103,121,"Kurt Suzuki","Joe West (N)",ATL,&nbsp;,5,---,true,false,20.87,6.33,3.53,0.42,0.32,0.52,0.03,0.01,7.17,1.93,0.21,5.33,0.77,2.48,20.87,1.88
10932,"Madison Bumgarner",9000.00,CIN,SP,SFG,46057,"Madison Bumgarner",true,&nbsp;,95,101,125,"Buster Posey","Dan Bellino (P)",CIN,&nbsp;,1,---,false,false,20.86,6.42,3.50,0.48,0.27,0.53,0.06,0.03,6.79,1.49,0.18,5.43,0.97,2.50,20.86,2.32
10965,"David Price",9800.00,TBR,SP,BOS,46059,"David Price",false,&nbsp;,95,98,114,"Sandy Leon","Mark Wegner (EH)",BOS,&nbsp;,4,---,true,true,17.49,6.04,3.86,0.47,0.24,0.48,0.02,0.01,5.92,1.59,0.28,5.86,0.71,2.59,17.49,1.78
13737,"Miles Mikolas",8300.00,MIL,SP,STL,46065,"Miles Mikolas",false,&nbsp;,93,97,114,"Yadier Molina","Cory Blaser (P)",STL,&nbsp;,4,---,true,false,16.73,6.40,3.67,0.45,0.29,0.53,0.03,0.01,5.02,1.01,0.26,6.01,0.92,2.61,16.73,2.02
10982,"Jake Arrieta",7100.00,NYM,SP,PHI,46066,"Jake Arrieta",true,&nbsp;,91,95,116,"Wilson Ramos","Gerry Davis (H)",PHI,&nbsp;,6,---,true,false,15.97,5.98,3.74,0.37,0.34,0.46,0.02,0.01,5.13,1.78,0.24,5.26,0.87,2.49,15.97,2.25
13490,"Dallas Keuchel",7600.00,OAK,SP,HOU,46053,"Dallas Keuchel",true,&nbsp;,101,103,123,"Max Stassi","Jim Wolf (H)",OAK,&nbsp;,1,0-4,false,true,15.69,6.31,3.86,0.38,0.35,0.52,0.05,0.02,5.12,2.29,0.20,5.95,0.78,2.71,15.69,2.06
11187,"Rich Hill",9300.00,SEA,SP,LAD,46063,"Rich Hill",false,&nbsp;,93,91,113,"Yasmani Grandal","Marvin Hudson (H)",SEA,&nbsp;,3,---,false,true,15.39,5.38,4.37,0.34,0.33,0.38,0.02,0.01,5.72,2.01,0.40,4.95,1.05,2.61,15.39,1.65
34672,"Joe Musgrove",7800.00,CHC,SP,PIT,46062,"Joe Musgrove",true,&nbsp;,88,90,109,"Francisco Cervelli","Paul Nauert (H)",PIT,&nbsp;,5,---,true,false,14.25,5.72,3.90,0.36,0.34,0.42,0.01,0.00,4.56,1.43,0.24,5.44,0.71,2.48,14.25,1.83
41612,"Brad Keller",6100.00,CHW,SP,KCR,46052,"Brad Keller",true,&nbsp;,94,94,112,"Drew Butera","Tripp Gibson (P)",CHW,&nbsp;,5,3-0,false,true,14.01,5.69,4.14,0.33,0.37,0.42,0.03,0.02,4.90,1.89,0.33,5.80,0.65,2.62,14.01,2.3
10967,"Trevor Cahill",8200.00,HOU,SP,OAK,46053,"Trevor Cahill",true,&nbsp;,90,92,119,"Josh Phegley","Jim Wolf (H)",OAK,&nbsp;,6,1-2,true,true,13.98,5.52,3.92,0.33,0.36,0.39,0.00,0.00,4.84,2.35,0.32,4.95,0.61,2.40,13.98,1.7
36263,"Dylan Covey",6300.00,KCR,SP,CHW,46052,"Dylan Covey",false,&nbsp;,97,95,125,"Kevan Smith","Tripp Gibson (P)",CHW,&nbsp;,6,1-4,true,true,13.34,5.82,4.35,0.35,0.35,0.45,0.01,0.01,4.60,1.85,0.33,5.89,0.81,2.81,13.34,2.12
35719,"Adam Plutko",5800.00,BAL,SP,CLE,46061,"Adam Plutko",true,&nbsp;,91,86,113,"Yan Gomes","Nic Lentz (H)",CLE,&nbsp;,6,0-3,true,true,13.26,5.26,4.74,0.34,0.32,0.36,0.00,0.00,4.85,1.51,0.10,5.22,1.07,2.77,13.26,2.29
142335,"Jefry Rodriguez",4000.00,MIA,SP,WAS,46054,"Jefry Rodriguez",true,&nbsp;,86,86,108,"Spencer Kieboom","Ted Barrett (P)",WAS,&nbsp;,6,---,true,false,12.71,5.28,4.23,0.39,0.27,0.35,0.00,0.00,4.26,1.51,0.31,5.39,0.56,2.48,12.71,3.18
17566,"Andrew Heaney",8500.00,TEX,SP,LAA,46064,"Andrew Heaney",false,&nbsp;,96,88,118,"Rene Rivera","Fieldin Culbreth (H)",TEX,&nbsp;,3,---,false,true,11.83,5.27,5.01,0.28,0.39,0.37,0.02,0.01,4.65,1.71,0.35,5.54,1.04,2.93,11.83,1.39
13517,"Matt Harvey",6500.00,SFG,SP,CIN,46057,"Matt Harvey",true,&nbsp;,91,86,116,"Tucker Barnhart","Dan Bellino (P)",CIN,&nbsp;,4,---,true,false,11.64,5.19,4.75,0.23,0.44,0.35,0.00,0.00,4.40,1.81,0.18,5.12,0.92,2.74,11.64,1.79
491477,"Kohl Stewart",4500.00,DET,SP,MIN,46060,"Kohl Stewart",true,&nbsp;,86,85,105,"Mitch Garver","Jeff Nelson (P)",MIN,&nbsp;,4,1-1,true,true,11.38,5.19,4.32,0.39,0.26,0.34,0.00,0.00,3.75,1.57,0.23,5.49,0.51,2.49,11.38,2.53
13423,"Erasmo Ramirez",5400.00,LAD,SP,SEA,46063,"Erasmo Ramirez",false,&nbsp;,88,81,94,"Mike Zunino","Marvin Hudson (H)",SEA,&nbsp;,6,---,true,true,11.24,4.94,4.97,0.26,0.39,0.31,0.00,0.00,4.23,1.40,0.20,4.92,1.23,2.73,11.24,2.08
10674,"Clayton Richard",5300.00,ARI,SP,SDP,46058,"Clayton Richard",false,&nbsp;,91,89,125,"Austin Hedges","Eric Cooper (EP)",SDP,&nbsp;,1,3-1,true,false,10.69,5.39,4.40,0.23,0.46,0.38,0.00,0.00,3.83,2.09,0.26,5.49,0.78,2.64,10.69,2.02
11168,"Alex Cobb",4200.00,CLE,SP,BAL,46061,"Alex Cobb",true,&nbsp;,96,93,117,"Austin Wynns","Nic Lentz (H)",CLE,&nbsp;,2,1-1,false,true,10.26,5.80,4.46,0.31,0.39,0.45,0.04,0.02,3.30,1.79,0.26,6.20,0.71,2.87,10.26,2.44
34707,"Antonio Senzatela",7000.00,ATL,SP,COL,46056,"Antonio Senzatela",true,&nbsp;,96,70,70,"Tony Wolters","Joe West (N)",ATL,&nbsp;,4,---,false,false,10.11,4.39,3.82,0.24,0.39,0.19,0.00,0.00,3.19,1.30,0.15,4.15,0.47,1.86,10.11,1.44
13401,"Wei-Yin Chen",6900.00,WAS,SP,MIA,46054,"Wei-Yin Chen",false,&nbsp;,88,77,109,"J.T. Realmuto","Ted Barrett (P)",WAS,&nbsp;,3,---,false,false,9.38,4.65,5.26,0.20,0.45,0.27,0.00,0.00,3.80,1.59,0.08,4.86,1.09,2.72,9.38,1.36
34679,"Tyler Glasnow",7200.00,BOS,SP,TBR,46059,"Tyler Glasnow",true,&nbsp;,96,81,96,"Michael Perez","Mark Wegner (EH)",BOS,&nbsp;,4,---,false,true,9.23,4.41,5.76,0.17,0.47,0.24,0.00,0.00,4.38,2.66,0.18,4.63,0.70,2.82,9.23,1.28
13502,"Martin Perez",4600.00,LAA,SP,TEX,46064,"Martin Perez",false,&nbsp;,91,86,114,"Isiah Kiner-Falefa","Fieldin Culbreth (H)",TEX,&nbsp;,1,2-0,true,true,8.84,5.27,4.71,0.34,0.33,0.36,0.00,0.00,2.89,1.65,0.17,5.89,0.74,2.76,8.84,1.92
11072,"Tyler Chatwood",6300.00,PIT,SP,CHC,46062,"Tyler Chatwood",false,&nbsp;,88,75,75,"Willson Contreras","Paul Nauert (H)",PIT,&nbsp;,4,2-0,false,false,8.78,4.36,4.22,0.24,0.38,0.20,0.00,0.00,3.06,2.35,0.21,4.14,0.37,2.04,8.78,1.39
11462,"Wade Miley",6700.00,STL,SP,MIL,46065,"Wade Miley",false,&nbsp;,81,70,124,"Erik Kratz","Cory Blaser (P)",STL,&nbsp;,2,---,false,false,7.40,4.05,5.34,0.19,0.42,0.17,0.00,0.00,3.07,1.74,0.16,4.41,0.78,2.40,7.40,1.1
141501,"Ryan Carpenter",5200.00,MIN,SP,DET,46060,"Ryan Carpenter",true,&nbsp;,93,72,116,"Grayson Greiner","Jeff Nelson (P)",MIN,&nbsp;,3,1-1,false,true,6.99,4.14,6.41,0.17,0.45,0.21,0.00,0.00,3.44,1.32,0.13,5.16,1.09,2.95,6.99,1.34
491199,"Sean Reid-Foley",5100.00,NYY,SP,TOR,46055,"Sean Reid-Foley",true,&nbsp;,89,62,109,"Danny Jansen","David Rackley (H)",NYY,&nbsp;,4,---,false,true,5.00,3.35,7.11,0.09,0.53,0.09,0.00,0.00,2.96,1.74,0.15,4.07,1.00,2.65,5.00,0.98
